ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000096309	Gm25208	NE	NE	NE	NE	LE	NE
ENSMUSG00000096310	Gm23523	NE	UND	UND	NE	UND	NE
ENSMUSG00000096311	Gm3681	NE	NE	NE	NE	NE	NE
ENSMUSG00000096312	Trgj1	NE	NE	HE	UND	HE	UND
ENSMUSG00000096313	Gm23524	NE	NE	NE	NE	NE	NE
ENSMUSG00000096314	Gm23521	NE	NE	NE	NE	NE	NE
ENSMUSG00000096315	Gm21795	NE	NE	NE	NE	NE	NE
ENSMUSG00000096316	Gm6432	NE	LE	NE	NE	UND	NE
ENSMUSG00000096317	Gm23522	NE	NE	NE	NE	NE	NE
ENSMUSG00000096318	Astx4a	NE	NE	NE	NE	NE	NE
ENSMUSG00000096319	Gm8226	NE	UND	UND	UND	UND	UND
ENSMUSG00000096320	Olfr1471	NE	NE	LE	NE	NE	NE
ENSMUSG00000096321	Gm25503	NE	NE	NE	NE	NE	NE
ENSMUSG00000096322	Gm3898	NE	NE	NE	NE	NE	NE
ENSMUSG00000096323	Gm20767	NE	NE	NE	NE	NE	NE
ENSMUSG00000096324	Gm26336	NE	NE	NE	NE	NE	NE
ENSMUSG00000096325	Gm25504	NE	UND	NE	NE	UND	NE
ENSMUSG00000096326	Ighv1-78	NE	NE	UND	UND	NE	NE
ENSMUSG00000096327	Gm21980	NE	NE	NE	NE	NE	NE
ENSMUSG00000096328	Gm26337	NE	NE	NE	NE	NE	NE
ENSMUSG00000096329	Trav13d-4	UND	UND	UND	UND	UND	UND
ENSMUSG00000096330	Gm21976	NE	UND	UND	NE	UND	LE
ENSMUSG00000096331	Gm24712	NE	NE	NE	NE	NE	NE
ENSMUSG00000096332	Gm21241	NE	NE	NE	NE	NE	NE
ENSMUSG00000096333	Gm13871	NE	NE	NE	NE	NE	NE
ENSMUSG00000096334	Sh2d1b1	LE	NE	UND	LE	LE	NE
ENSMUSG00000096335	n-R5s108	NE	NE	NE	NE	NE	NE
ENSMUSG00000096336	Igkv1-135	NE	NE	UND	LE	NE	UND
ENSMUSG00000096337	Gm13694	NE	NE	NE	NE	NE	NE
ENSMUSG00000096338	Gm15086	NE	NE	NE	NE	NE	NE
ENSMUSG00000096339	Gm24713	NE	UND	NE	NE	UND	NE
ENSMUSG00000096340	Defa-ps10	NE	NE	NE	NE	NE	NE
ENSMUSG00000096341	Gm22886	NE	NE	UND	NE	UND	NE
ENSMUSG00000096342	Gm22885	NE	NE	NE	NE	NE	NE
ENSMUSG00000096343	n-R5s133	NE	NE	NE	NE	NE	NE
ENSMUSG00000096344	Gm6408	NE	LE	NE	NE	NE	NE
ENSMUSG00000096345	Gm4345	NE	NE	NE	NE	NE	NE
ENSMUSG00000096346	Gm22887	NE	UND	UND	NE	HE	NE
ENSMUSG00000096347	Gm21758	NE	NE	NE	NE	NE	NE
ENSMUSG00000096348	Gm10666	NE	NE	NE	NE	NE	NE
ENSMUSG00000096349	Gm22513	UND	HE	HE	NE	HE	UND
ENSMUSG00000096350	Gm25707	NE	NE	NE	NE	UND	NE
ENSMUSG00000096351	Samd11	UND	UND	UND	UND	UND	UND
ENSMUSG00000096352	Gm25708	NE	NE	NE	NE	UND	NE
